chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
21 10326676 0.0000000000 0.000000000000000
21 10328258 0.0000000000 0.000000000000000
21 10328474 1.0144366477 0.000219118315903
21 10328627 1.4331971107 0.000438397473841
21 10329436 1.5681108402 0.001706999143562
21 10331649 1.7052229270 0.005480657481013
21 10332211 2.5392863547 0.006907736412355
21 10345209 2.5560659659 0.040131481837123
21 10364042 2.5516477727 0.088186664340382
21 10366270 2.5566785802 0.093882944217068
21 10370460 2.5649470259 0.104630072255589
21 10399021 2.5682353700 0.177981442658159
21 10399557 2.5912066734 0.179370329435101
21 10418235 1.9573597162 0.215929894214285
21 10418637 1.3284769576 0.216463941951240
21 10419095 1.2602329877 0.217041128659606
21 10421214 1.2787131314 0.219750721785043
21 10421858 1.2976316164 0.220586396546005
21 10428610 1.3250999555 0.229533471445541
21 10434601 2.7474343021 0.245993350349422
21 10447335 2.7633359258 0.281181670028559
21 10448348 2.7857338768 0.284003618445757
21 10449557 2.4979907001 0.287023689202178
21 10457532 2.2809245318 0.305214062343283
21 10460275 2.2758994687 0.311456854585927
21 10462297 1.4336862128 0.314355768108209
21 10463438 1.4332934496 0.315991155934202
21 10469944 1.4331783411 0.325315414221399
21 10471423 1.4473912453 0.327456105873198
21 10475319 5.3788558942 0.348412128437001
21 10476690 5.3853817733 0.355795486848195
21 10482031 5.4292631165 0.384793181153422
21 10485153 5.7422905071 0.402720612116588
21 10511353 5.2640688377 0.540639215664328
21 10514916 5.2831631741 0.559463126053646
21 10515528 0.7566308986 0.559926184163589
21 10517970 0.3314033713 0.560735471196304
21 10522542 0.3051474410 0.562130605296556
21 10533359 0.2629913549 0.564975382782509
21 10539128 0.2623317024 0.566488774373655
21 10540212 0.2626881764 0.566773528356872
21 10540506 0.2630881923 0.566850876285409
21 10540891 0.2631826016 0.566952201587025
21 10544690 0.2641002218 0.567955518329643
21 10545632 0.2641768732 0.568204372944197
21 10548318 0.2659230188 0.568918642172694
21 10552651 0.2689490810 0.570083998540667
21 10555734 0.2789617388 0.570944037581387
21 10558998 0.3117448340 0.571961572719563
21 10561826 0.3869638499 0.573055906487081
21 10568371 0.3876889824 0.575593330876889
21 10572833 0.3893053967 0.577330411556964
21 10576227 0.3926848463 0.578663183925306
21 10578184 0.3929208557 0.579432130039911
21 10579689 0.4103653968 0.580049729962095
21 10581503 0.4105639588 0.580794492983358
21 10587168 0.4228200938 0.583189768814735
21 10592416 0.4235201568 0.585412402597622
21 10592439 0.4234745693 0.585422142512716
21 10595541 0.4233025543 0.586735227036154
21 10598484 0.4231906694 0.587980677176199
21 10605249 0.4422176830 0.590972279801694
21 10605468 0.4953800875 0.591080768040856
21 10605542 0.4965798052 0.591117514946441
21 10605734 0.4976528486 0.591213064293372
21 10646524 0.6231151531 0.616629931388321
21 12983047 0.0000004280 1.616629931388321
21 12988569 0.0000000000 1.616629931388321
21 12990722 1.2236529551 1.619264456200651
21 13005105 1.4718452975 1.640434007114594
21 13008053 1.4079285350 1.644584580435774
21 13008350 1.4171676732 1.645005479234714
21 13010184 1.3450652129 1.647472328835172
21 13036261 1.3405295048 1.682429316731842
21 13042551 1.3345045052 1.690823350069550
21 13051832 1.3397513087 1.703257581965595
21 13053221 1.3400342497 1.705118889538428
21 13054700 1.3441553806 1.707106895346336
21 13073695 1.3456696273 1.732667889916900
21 13099938 0.0000000000 1.732667889916900
21 13110005 0.0000000000 1.732667889916900
21 13213132 1.2551712766 1.862109938158827
21 13222943 1.1832026919 1.873718339769058
21 13224688 1.1224476050 1.875677010839783
21 13227809 1.1222254495 1.879179476467673
21 13234719 0.1393858432 1.880142632644185
21 13240712 0.1394343512 1.880978262710926
21 13240882 0.1396603996 1.881002004978858
21 13241380 0.1394460312 1.881071449102396
21 13241672 0.1397909052 1.881112268046714
21 13255384 0.0406859794 1.881670154196247
21 13258267 0.0206876501 1.881729796691486
21 13258634 0.0062470859 1.881732089372010
21 13261103 0.0042348751 1.881742545278633
21 13264585 0.0041237754 1.881756904264576
21 13266595 0.0041039064 1.881765153116440
21 13268079 0.0041039064 1.881771243313537
21 13274232 0.0043363016 1.881797924577282
21 13275529 0.0056466030 1.881805248221373
21 13275836 0.0072501467 1.881807474016410
21 13277477 0.0102834351 1.881824349133410
21 13280587 0.0133880575 1.881865985992234
21 13283230 0.3355179810 1.882752760016017
21 13284448 0.0409404974 1.882802625541850
21 13286509 0.0410368562 1.882887202502479
21 13289671 0.2925135508 1.883812130350109
21 13292630 0.3670083658 1.884898108104510
21 13293652 0.1419978671 1.885043229924686
21 13293843 0.0759816547 1.885057742420734
21 13294763 0.0718387143 1.885123834037890
21 13297610 0.0718057776 1.885328265086717
21 13297803 0.0717193228 1.885342106916018
21 13297868 0.0715248722 1.885346756032710
21 13298852 0.0714969717 1.885417109052864
21 13301529 0.0714482156 1.885608375926026
21 13304980 0.0711558973 1.885853934927608
21 13305033 0.0707306726 1.885857683653255
21 13308956 0.0697967230 1.886131496197585
21 13313275 0.0779244297 1.886468051809459
21 13313842 0.0777570235 1.886512140041783
21 13314336 0.0775237434 1.886550436771023
21 13315250 0.1793209794 1.886714336146195
21 13316504 0.2667280319 1.887048813098197
21 13319046 0.2650440356 1.887722555036693
21 13319991 0.2692888164 1.887977032968191
21 13320912 0.3995207573 1.888344991585664
21 13321060 0.5511494323 1.888426561701644
21 13339843 0.5557826947 1.898865828056194
21 13342566 0.5191663094 1.900279517916691
21 13342905 0.4818273277 1.900442857380781
21 13345210 0.3620114706 1.901277293820514
21 13350635 0.3968425042 1.903430164405798
21 13353062 0.2352191621 1.904001041312215
21 13362765 0.1674879154 1.905626176555340
21 13363169 0.1512602739 1.905687285705997
21 13364137 0.1055456482 1.905789453893455
21 13367143 0.1054175434 1.906106339028915
21 13370521 0.1048985720 1.906460686405131
21 13370996 0.1046665348 1.906510403009161
21 13372587 0.1044582185 1.906676596034795
21 13377078 0.1043652752 1.907145300485718
21 13377546 0.1043864934 1.907194153364629
21 13382924 0.1043953888 1.907755591765596
21 13384040 0.1118058478 1.907880367091741
21 13384355 0.1118058478 1.907915585933797
21 13384652 0.1072417846 1.907947436743824
21 13384722 0.1045493316 1.907954755197036
21 13386583 0.1045337580 1.908149292520674
21 13387882 0.1047334346 1.908285341252219
21 13394104 0.1158650809 1.909006253785579
21 13394880 0.1270431199 1.909104839246621
21 13396022 0.1362437308 1.909260429587194
21 13396725 0.1376811870 1.909357219461655
21 13397141 0.1408079029 1.909415795549261
21 13398856 0.1449962996 1.909664464203075
21 13399490 0.1593847300 1.909765514121895
21 13400911 0.1507900771 1.909979786821455
21 13401195 0.1424157624 1.910020232897977
21 13403408 0.1418057136 1.910334048942174
21 13407058 0.1418008486 1.910851622039564
21 13408015 0.1417724437 1.910987298268185
21 13409611 0.1419682066 1.911213879525918
21 13411277 0.1422496691 1.911450867474639
21 13411964 0.1425441785 1.911548795325268
21 13413297 0.1425249345 1.911738781062957
21 13413478 0.1431031340 1.911764682730211
21 13414091 0.1433889208 1.911852580138661
21 13418100 0.1434083690 1.912427504289982
21 13418412 0.1433577597 1.912472231911009
21 13421184 0.1433268417 1.912869533916201
21 13423154 0.1433337954 1.913151901493139
21 13423802 0.1434090972 1.913244830588125
21 13424314 0.1436153305 1.913318361637341
21 13425696 0.1437423374 1.913517013547627
21 13425916 0.1438670967 1.913548664308901
21 13428532 0.1449083535 1.913927744561657
21 13428821 0.1459977420 1.913969937909095
21 13430429 0.1492866157 1.914209990787141
21 13430807 0.1471292539 1.914265605645115
21 13434815 0.1494674672 1.914864671253653
21 13436572 0.1441837257 1.915118002059708
21 13437721 0.1410824808 1.915280105830147
21 13440234 0.1844064575 1.915743519257844
21 13440669 0.2035769283 1.915832075221655
21 13441052 0.1568262644 1.915892139680920
21 13441328 0.1142071105 1.915923660843418
21 13443583 0.1126837081 1.916177762605184
21 13445465 0.1074657934 1.916380013228362
21 13447387 0.1039041399 1.916579716985251
21 13448087 0.1032057347 1.916651960999541
21 13448681 0.1002835300 1.916711529416361
21 13452182 0.0957700564 1.917046820383817
21 13452291 0.0913690997 1.917056779615684
21 13453268 0.0911714596 1.917145854131713
21 13455377 0.0911967257 1.917338188026214
21 13457716 1.5006103897 1.920848115727723
21 13459039 1.5236271135 1.922863874398883
21 13459286 3.1245996952 1.923635650523598
21 13462951 7.3686202378 1.950641643695135
21 13464068 5.7954445987 1.957115155311883
21 13464977 1.5493472474 1.958523511959769
21 13472403 1.1797588296 1.967284401028379
21 13474973 1.1539093755 1.970249948123414
21 13475280 0.7023131069 1.970465558247232
21 13477189 0.7022650127 1.971806182156476
21 13477307 0.3016966731 1.971841782363901
21 13482698 0.3015112418 1.973467229468446
21 13488851 0.3010534712 1.975319611476740
21 13497301 0.3044331410 1.977892071518189
21 13498350 0.3114411445 1.978218773278770
21 13503956 0.3561101572 1.980215126820033
21 13507682 0.5379465470 1.982219515654155
21 13514351 0.7097618680 1.986952917551847
21 13514493 0.7937416353 1.987065628864060
21 13519578 0.3772904272 1.988984150686371
21 13527249 0.3774646727 1.991879682190653
21 13527267 0.3748150617 1.991886428861764
21 13529599 0.3937298361 1.992804606839549
21 13529780 0.3721639446 1.992871968513521
21 13530378 0.3675914577 1.993091788205226
21 13535268 0.3701617335 1.994901879082041
21 13539380 0.3907694208 1.996508722940371
21 13542314 0.8358109080 1.998960992144443
21 13542485 0.9384211235 1.999121462156561
21 13543734 0.1454354381 1.999303111018748
21 13547816 0.1453861314 1.999896577207123
21 13552614 0.1389497607 2.000563258158961
21 13556034 0.1376143644 2.001033899285211
21 13559721 0.1373220847 2.001540205811501
21 13562613 0.1373261668 2.001937353085881
21 13568685 0.1375324268 2.002772449981411
21 13568824 0.1377377571 2.002791595529652
21 13570038 0.1380972930 2.002959245643352
21 13571018 0.1385155781 2.003094990909892
21 13572794 0.1395878790 2.003342898982992
